Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000000003 921 653 790 694 822 583
ENSG00000000005 0 0 0 0 0 0
ENSG00000000419 1157 965 902 1152 1214 906
ENSG00000000457 413 391 352 455 546 450
ENSG00000000460 264 240 262 188 285 202
ENSG00000000938 10 4 4 8 9 10
ENSG00000000971 4248 3438 3538 12660 14853 11459
ENSG00000001036 5239 5125 4741 6350 7515 6223
ENSG00000001084 494 461 452 582 523 410
ENSG00000001167 1407 1379 1244 1507 1593 1197
ENSG00000001460 411 374 369 359 513 396
ENSG00000001461 3545 3632 3042 2212 4077 3171
ENSG00000001497 1000 1062 831 806 973 769
ENSG00000001561 167 140 116 139 171 128
ENSG00000001617 105 137 107 154 145 125
ENSG00000001626 0 3 0 0 3 2
ENSG00000001629 2256 2125 1958 4404 6071 4548
ENSG00000001630 257 379 203 276 413 402
ENSG00000001631 1152 947 896 1119 1583 1027
ENSG00000002016 341 337 290 235 323 252
ENSG00000002079 1 0 1 2 0 0
ENSG00000002330 1433 1779 1353 758 898 952
ENSG00000002549 1757 1935 1651 13479 19046 15403
ENSG00000002586 17403 19136 15603 17056 21869 18273
ENSG00000002587 0 0 0 0 0 0
ENSG00000002726 28 25 16 13 23 17
ENSG00000002745 1 0 0 0 0 0
ENSG00000002746 656 744 545 350 588 497
ENSG00000002822 770 952 730 581 629 606
ENSG00000002834 22753 27031 21385 15246 24861 19806
ENSG00000002919 698 713 639 944 1105 992
ENSG00000002933 458 543 411 169 459 365
ENSG00000003056 2804 2854 2519 3284 3485 2697
ENSG00000003096 177 163 140 22 156 107
ENSG00000003137 92 92 61 871 102 72
ENSG00000003147 0 1 0 0 2 2
ENSG00000003249 228 314 250 155 158 134
ENSG00000003393 1689 1405 1322 1413 1640 1204
ENSG00000003400 244 245 215 364 849 686
ENSG00000003402 2619 2580 2262 5328 4993 3817
ENSG00000003436 3654 3349 2704 6113 6097 4283
ENSG00000003509 312 344 260 287 320 218
ENSG00000003756 2589 2694 2243 2293 3306 2450
ENSG00000003987 0 0 0 0 0 0
ENSG00000003989 1 1 0 3 2 0
ENSG00000004059 2570 2880 2350 1308 1991 1830
ENSG00000004139 895 1038 882 630 874 697
ENSG00000004142 3481 3999 3376 3402 3750 3199
ENSG00000004399 5847 6848 5640 6644 6242 5357
ENSG00000004455 2688 2783 2411 3232 3885 3126
ENSG00000004468 0 0 2 128 118 75
ENSG00000004478 1926 2311 1982 2921 1574 1422
ENSG00000004487 2251 2274 2078 1726 2012 1515
ENSG00000004534 2274 2399 1911 1814 2603 1696
ENSG00000004660 554 601 509 161 393 353
ENSG00000004700 2845 2457 2443 3144 3599 2585
ENSG00000004766 739 613 573 624 1060 782
ENSG00000004776 1647 2528 1530 839 2037 1509
ENSG00000004777 336 477 286 86 190 163
ENSG00000004779 1174 1116 1128 1316 1140 969
ENSG00000004799 30 23 24 73 62 39
ENSG00000004809 0 0 2 0 1 0
ENSG00000004838 15 26 29 3 8 4
ENSG00000004846 1 2 2 0 0 0
ENSG00000004848 0 0 0 0 0 0
ENSG00000004864 553 529 499 571 545 458
ENSG00000004866 782 794 669 969 1046 820
ENSG00000004897 3497 2969 2787 4451 5127 3549
ENSG00000004939 0 0 0 1 0 0
ENSG00000004948 0 0 0 0 0 0
ENSG00000004961 676 760 569 744 790 605
ENSG00000004975 2086 2424 1988 1375 1982 1758
ENSG00000005001 1 2 2 1 1 0
ENSG00000005007 4175 4941 3814 4894 5220 4646
ENSG00000005020 1502 1498 1235 1228 1838 1304
ENSG00000005022 4340 4299 4002 3437 3145 2783
ENSG00000005059 348 372 295 309 907 654
ENSG00000005073 1387 1531 1207 711 1140 981
ENSG00000005075 748 877 713 541 624 543
ENSG00000005100 1000 1033 851 967 1107 811
ENSG00000005102 7 14 7 6 11 10
ENSG00000005108 13 12 20 2 25 11
ENSG00000005156 739 810 706 611 846 623
ENSG00000005175 986 824 803 1013 1273 937
ENSG00000005187 19 33 14 10 39 22
ENSG00000005189 220 236 194 70 180 141
ENSG00000005194 1077 1039 975 1040 1009 913
ENSG00000005206 1012 1549 986 923 1072 901
ENSG00000005238 1780 2190 1821 2189 2015 1740
ENSG00000005243 2200 2562 2285 1225 2405 2133
ENSG00000005249 956 861 858 354 1280 925
ENSG00000005302 850 878 810 1284 1483 1183
ENSG00000005339 3045 3604 2685 3114 4089 3179
ENSG00000005379 58 59 66 12 33 29
ENSG00000005381 0 0 0 0 1 0
ENSG00000005421 0 0 0 1 0 0
ENSG00000005436 244 222 185 202 280 174
ENSG00000005448 601 648 539 409 276 330
ENSG00000005469 1095 1155 982 603 905 704
ENSG00000005471 167 161 125 38 176 142
ENSG00000005483 2690 2616 2185 2892 3947 2684
ENSG00000005486 1942 2254 1694 1792 2781 2278
ENSG00000005513 12 39 20 18 27 15
ENSG00000005700 2126 1895 1882 2996 3178 2311
ENSG00000005801 415 411 383 497 556 405
ENSG00000005810 2754 2488 2462 3910 4773 3628
ENSG00000005812 1313 1362 1272 1371 1728 1245
ENSG00000005844 0 0 0 0 0 1
ENSG00000005882 1211 1459 1070 663 1042 918
ENSG00000005884 7233 8754 7394 14808 10452 9207
ENSG00000005889 925 800 706 1037 1206 937
ENSG00000005893 8473 7487 6876 10703 12875 9661
ENSG00000005961 4 4 2 0 2 2
